code_postal,ville,nb_immeubles_cibles,total_lots_cibles,score_moyen_cibles
56260,LARMOR-PLAGE,21,418,0.68
95700,ROISSY-EN-FRANCE,2,418,0.68
14800,TOUQUES,5,416,0.68
74190,PASSY,34,416,0.69
13380,PLAN-DE-CUQUES,7,415,0.72
59280,ARMENTIČRES,10,412,0.8
74230,THÔNES,21,412,0.65
42600,MONTBRISON,22,411,0.73
76500,ELBEUF,14,411,0.64
88100,SAINT-DIÉ-DES-VOSGES,29,410,0.66
66190,COLLIOURE,12,407,0.74
62152,NEUFCHÂTEL-HARDELOT,15,405,0.67
13127,VITROLLES,11,403,0.68
14200,HÉROUVILLE-SAINT-CLAIR,8,403,0.72
65200,BAGNČRES-DE-BIGORRE,12,402,0.72
84140,AVIGNON,7,402,0.66
14123,FLEURY-SUR-ORNE,7,401,0.73
6000,NICE,10,401,0.7
31770,COLOMIERS,8,399,0.76
38300,BOURGOIN-JALLIEU,24,398,0.66
34280,MAUGUIO,13,396,0.72
46000,CAHORS,15,396,0.72
60100,CREIL,13,395,0.73
83320,CARQUEIRANNE,20,395,0.71
73370,LE BOURGET-DU-LAC,11,393,0.76
61140,BAGNOLES DE L'ORNE NORMANDIE,12,392,0.76
56600,LANESTER,11,392,0.65
69190,SAINT-FONS,13,391,0.72
38170,SEYSSINET-PARISET,11,391,0.64
33500,LIBOURNE,9,390,0.7
91400,ORSAY,14,389,0.73
77700,BAILLY-ROMAINVILLIERS,17,389,0.74
68120,PFASTATT,13,386,0.73
69410,CHAMPAGNE-AU-MONT-D'OR,12,385,0.72
77130,MONTEREAU-FAULT-YONNE,18,384,0.68
62300,LENS,10,383,0.68
83220,LE PRADET,15,380,0.67
5200,EMBRUN,13,380,0.7
57400,SARREBOURG,23,378,0.7
13240,SEPTÈMES-LES-VALLONS,7,376,0.58
69700,GIVORS,16,375,0.73
93250,VILLEMOMBLE,19,374,0.71
64122,URRUGNE,14,373,0.71
93360,NEUILLY-PLAISANCE,16,373,0.72
44340,BOUGUENAIS,13,372,0.72
74950,SCIONZIER,15,371,0.67
50000,SAINT-LÔ,12,370,0.68
74100,VÉTRAZ-MONTHOUX,7,370,0.64
93420,VILLEPINTE,11,370,0.69
21800,QUETIGNY,8,369,0.67
5200,LES ORRES,6,368,0.72
78180,MONTIGNY-LE-BRETONNEUX,5,365,0.67
52100,SAINT-DIZIER,15,365,0.69
19000,TULLE,23,362,0.65
5100,MONTGENČVRE,12,362,0.72
73700,BOURG-SAINT-MAURICE,16,361,0.66
26500,BOURG-LČS-VALENCE,15,361,0.73
65100,LOURDES,19,361,0.69
91230,MONTGERON,10,361,0.74
94430,CHENNEVIČRES-SUR-MARNE,12,360,0.74
25370,MÉTABIEF,9,359,0.63
21800,CHEVIGNY-SAINT-SAUVEUR,9,357,0.74
33140,VILLENAVE-D'ORNON,11,354,0.72
20137,PORTO-VECCHIO,10,354,0.72
14100,LISIEUX,16,354,0.69
83430,SAINT-MANDRIER-SUR-MER,8,354,0.65
21121,FONTAINE-LČS-DIJON,8,352,0.67
5000,GAP,8,352,0.72
95440,ÉCOUEN,6,350,0.74
76310,SAINTE-ADRESSE,8,348,0.71
50400,GRANVILLE,20,348,0.74
35510,CESSON-SÉVIGNÉ,9,348,0.65
77200,TORCY,7,346,0.68
76190,YVETOT,11,343,0.69
68350,BRUNSTATT-DIDENHEIM,14,343,0.71
18100,VIERZON,14,342,0.68
38290,LA VERPILLIČRE,11,342,0.63
33680,LACANAU,9,342,0.82
68180,HORBOURG-WIHR,16,340,0.67
14510,HOULGATE,16,340,0.71
80100,ABBEVILLE,10,340,0.73
91200,ATHIS-MONS,18,339,0.68
38700,LA TRONCHE,10,338,0.69
77360,VAIRES-SUR-MARNE,5,338,0.61
56400,AURAY,9,338,0.8
91700,SAINTE-GENEVIČVE-DES-BOIS,9,337,0.68
74920,COMBLOUX,18,336,0.76
95240,CORMEILLES-EN-PARISIS,18,336,0.67
77400,LAGNY-SUR-MARNE,12,336,0.73
59760,GRANDE-SYNTHE,4,334,0.71
45200,MONTARGIS,16,334,0.68
74120,PRAZ-SUR-ARLY,9,334,0.7
14800,TOURGÉVILLE,4,334,0.84
73480,VAL-CENIS,12,333,0.64
73450,VALLOIRE,13,331,0.67
74160,COLLONGES-SOUS-SALČVE,10,330,0.69
34540,BALARUC-LES-BAINS,10,330,0.7
60280,MARGNY-LČS-COMPIČGNE,3,326,0.77
31800,SAINT-GAUDENS,9,326,0.78
83480,PUGET-SUR-ARGENS,6,325,0.72
26110,NYONS,19,324,0.78
95610,ÉRAGNY,6,324,0.74
31700,CORNEBARRIEU,7,323,0.73
33520,BRUGES,6,323,0.62
95110,SANNOIS,9,322,0.74
6200,NICE,7,322,0.68
83420,LA CROIX-VALMER,10,322,0.69
77330,OZOIR-LA-FERRIČRE,10,321,0.74
44250,SAINT-BREVIN-LES-PINS,13,320,0.69
69400,GLEIZÉ,7,320,0.74
6210,MANDELIEU-LA-NAPOULE,5,320,0.79
91190,GIF-SUR-YVETTE,12,319,0.71
67120,MOLSHEIM,18,319,0.69
84100,ORANGE,16,319,0.71
40150,SOORTS-HOSSEGOR,10,319,0.75
67460,SOUFFELWEYERSHEIM,8,317,0.78
68270,WITTENHEIM,7,316,0.74
34680,SAINT-GEORGES-D'ORQUES,6,315,0.7
20134,L'ÎLE-ROUSSE,1,315,0.77
73500,AUSSOIS,4,315,0.61
30200,BAGNOLS-SUR-CČZE,10,314,0.71
73000,BASSENS,6,314,0.69
85340,OLONNE-SUR-MER,4,314,0.78
93460,GOURNAY-SUR-MARNE,9,312,0.7
59240,DUNKERQUE,17,312,0.75
76300,SOTTEVILLE-LČS-ROUEN,12,312,0.72
6300,NICE,5,308,0.7
78190,TRAPPES,7,308,0.71
69270,FONTAINES-SUR-SAÔNE,9,308,0.65
7500,GUILHERAND-GRANGES,3,308,0.83
26400,CREST,13,306,0.71
44470,CARQUEFOU,11,306,0.79
94290,VILLENEUVE-LE-ROI,7,305,0.66
68730,BLOTZHEIM,7,305,0.79
24100,BERGERAC,14,305,0.69
67540,OSTWALD,11,304,0.71
38530,PONTCHARRA,13,304,0.69
77350,LE MÉE-SUR-SEINE,4,304,0.65
57050,LONGEVILLE-LČS-METZ,12,304,0.66
64300,ORTHEZ,14,303,0.73
59155,FACHES-THUMESNIL,9,302,0.7
64722,URRUGNE,1,301,0.68
76230,BOIS-GUILLAUME,8,301,0.74
78240,CHAMBOURCY,3,301,0.75
26600,TAIN-L'HERMITAGE,19,301,0.71
74500,PUBLIER,9,300,0.68
68330,HUNINGUE,8,300,0.66
13470,CARNOUX-EN-PROVENCE,6,299,0.71
91450,ÉTIOLLES,2,298,0.7
91940,LES ULIS,4,298,0.69
84800,L'ISLE-SUR-LA-SORGUE,9,298,0.81
57300,HAGONDANGE,18,298,0.71
73160,COGNIN,7,296,0.83
74970,MARIGNIER,14,296,0.66
93390,CLICHY-SOUS-BOIS,7,293,0.75
38120,FONTANIL-CORNILLON,7,292,0.68
93450,L'ÎLE-SAINT-DENIS,9,292,0.7
95540,MÉRY-SUR-OISE,6,291,0.68
64340,BOUCAU,11,290,0.67
78160,MARLY-LE-ROI,8,286,0.78
20111,CALCATOGGIO,2,286,0.59
91370,VERRIČRES-LE-BUISSON,5,286,0.8
34450,VIAS,6,286,0.78
44240,LA CHAPELLE-SUR-ERDRE,7,285,0.76
5170,ORCIČRES,4,285,0.63
62930,WIMEREUX,20,284,0.69
38220,VIZILLE,13,283,0.71
50180,AGNEAUX,4,281,0.68
78700,CONFLANS-SAINTE-HONORINE,14,281,0.72
27200,VERNON,12,281,0.66
72300,SABLÉ-SUR-SARTHE,8,280,0.65
35300,FOUGČRES,14,280,0.73
55100,VERDUN,12,279,0.68
6500,MENTON,5,279,0.75
74310,LES HOUCHES,12,279,0.65
83260,LA CRAU,14,278,0.71
77700,CHESSY,2,278,0.58
42210,MONTROND-LES-BAINS,7,278,0.7
21240,TALANT,4,278,0.72
6150,CANNES,7,278,0.74
92390,VILLENEUVE-LA-GARENNE,5,277,0.65
65120,LUZ-SAINT-SAUVEUR,6,277,0.8
91180,SAINT-GERMAIN-LČS-ARPAJON,3,277,0.68
49400,SAUMUR,24,277,0.71
25800,VALDAHON,15,276,0.71
38110,LA TOUR-DU-PIN,11,276,0.69
69340,FRANCHEVILLE,10,275,0.72
78360,MONTESSON,12,273,0.62
45100,ORLÉANS,9,272,0.64
28500,VERNOUILLET,4,272,0.62
59350,SAINT-ANDRÉ-LEZ-LILLE,6,271,0.65
38420,LE VERSOUD,11,271,0.77
73210,LANDRY,3,271,0.76
42110,FEURS,12,271,0.68
73270,VILLARD-SUR-DORON,3,270,0.78
29800,LANDERNEAU,8,270,0.7
39300,CHAMPAGNOLE,13,270,0.7
13001,MARSEILLE - 1ER ARRONDISSEMENT,18,270,0.64
74210,FAVERGES-SEYTHENEX,14,270,0.71
21850,SAINT-APOLLINAIRE,8,270,0.74
5100,BRIANÇON,8,269,0.69
77680,ROISSY-EN-BRIE,6,269,0.75
94190,VILLENEUVE-SAINT-GEORGES,15,268,0.72
24750,TRÉLISSAC,6,268,0.65
38160,SAINT-MARCELLIN,9,267,0.71
56520,GUIDEL,4,267,0.67
23000,GUÉRET,8,266,0.68
74100,AMBILLY,12,266,0.68
26250,LIVRON-SUR-DRÔME,9,266,0.72
67800,BISCHHEIM,16,265,0.64
29950,BÉNODET,9,265,0.77
21300,CHENÔVE,7,265,0.67
29217,PLOUGONVELIN,3,264,0.59
83310,GRIMAUD,10,264,0.67
78560,LE PORT-MARLY,5,264,0.73
38140,RIVES,9,264,0.69
63130,ROYAT,9,262,0.72
73490,LA RAVOIRE,12,262,0.67
91290,ARPAJON,11,261,0.77
29100,DOUARNENEZ,10,261,0.71
73570,BRIDES-LES-BAINS,4,260,0.73
33470,GUJAN-MESTRAS,9,260,0.66
74160,ARCHAMPS,4,260,0.66
37400,AMBOISE,5,259,0.65
73500,MODANE,7,259,0.6
56890,PLESCOP,4,259,0.75
33260,LA TESTE-DE-BUCH,11,258,0.73
78990,ÉLANCOURT,4,258,0.65
74500,THOLLON-LES-MÉMISES,4,258,0.72
6600,ANTIBES,8,257,0.8
83520,ROQUEBRUNE-SUR-ARGENS,4,257,0.74
77310,SAINT-FARGEAU-PONTHIERRY,8,257,0.67
52000,CHAUMONT,10,257,0.69
76370,DIEPPE,8,255,0.63
59790,RONCHIN,3,254,0.86
33320,LE TAILLAN-MÉDOC,6,253,0.77
84130,LE PONTET,9,252,0.68
94470,BOISSY-SAINT-LÉGER,6,251,0.77
60500,CHANTILLY,16,251,0.71
38230,PONT-DE-CHÉRUY,5,249,0.69
13821,LA PENNE-SUR-HUVEAUNE,4,249,0.78
75002,PARIS 2ÈME ARRONDISSEMENT,8,248,0.68
73450,VALMEINIER,4,247,0.62
74210,DOUSSARD,5,247,0.74
74220,LA CLUSAZ,21,246,0.66
67170,BRUMATH,14,245,0.72
5300,LARAGNE-MONTÉGLIN,6,245,0.68
31700,BEAUZELLE,2,245,0.76
83370,FRÉJUS,10,244,0.7
91420,MORANGIS,6,244,0.73
14910,BLONVILLE-SUR-MER,5,243,0.74
38430,MOIRANS,9,241,0.66
14600,HONFLEUR,8,241,0.68
56700,HENNEBONT,3,240,0.74
71200,LE CREUSOT,8,240,0.65
63500,ISSOIRE,8,239,0.73
63360,GERZAT,7,238,0.71
28400,NOGENT-LE-ROTROU,12,238,0.74
40600,BISCARROSSE,13,237,0.73
69320,FEYZIN,5,237,0.77
38950,SAINT-MARTIN-LE-VINOUX,7,237,0.67
38610,GIČRES,12,237,0.73
38550,LE PÉAGE-DE-ROUSSILLON,7,236,0.69
97232,LE LAMENTIN,4,235,0.63
42800,RIVE-DE-GIER,14,235,0.68
74500,BERNEX,6,235,0.74
77000,VAUX-LE-PÉNIL,5,235,0.69
68700,CERNAY,10,235,0.76
85520,JARD-SUR-MER,7,234,0.64
88400,GÉRARDMER,11,234,0.72
20290,BORGO,4,233,0.79
17420,SAINT-PALAIS-SUR-MER,9,233,0.75
13460,SAINTES-MARIES-DE-LA-MER,13,231,0.74
62700,BRUAY-LA-BUISSIČRE,8,229,0.74
51300,VITRY-LE-FRANÇOIS,7,229,0.67
69310,PIERRE-BÉNITE,9,228,0.73
91440,BURES-SUR-YVETTE,5,228,0.68
59450,SIN-LE-NOBLE,2,228,0.83
17640,VAUX-SUR-MER,11,228,0.63
31270,CUGNAUX,9,228,0.71
67150,ERSTEIN,14,228,0.69
13620,CARRY-LE-ROUET,8,227,0.74
38190,VILLARD-BONNOT,10,227,0.76
81600,GAILLAC,3,227,0.71
62500,SAINT-OMER,8,227,0.78
6590,THÉOULE-SUR-MER,2,226,0.83
56370,SARZEAU,9,226,0.68
51470,SAINT-MEMMIE,4,226,0.65
69570,DARDILLY,3,225,0.71
77186,NOISIEL,4,225,0.65
67800,HŚNHEIM,8,225,0.64
31240,L'UNION,3,225,0.82
85330,NOIRMOUTIER-EN-L'ÎLE,9,224,0.65
95210,SAINT-GRATIEN,6,224,0.73
12100,MILLAU,16,223,0.7
74520,VALLEIRY,7,223,0.77
42230,ROCHE-LA-MOLIČRE,13,223,0.66
32000,AUCH,16,223,0.64
95350,SAINT-BRICE-SOUS-FORĘT,6,223,0.68
38860,VÉNOSC,3,223,0.61
65170,SAINT-LARY-SOULAN,9,222,0.7
95460,ÉZANVILLE,6,222,0.71
95140,GARGES-LČS-GONESSE,3,220,0.79
67140,BARR,14,220,0.7
78670,VILLENNES-SUR-SEINE,4,220,0.77
91270,VIGNEUX-SUR-SEINE,11,219,0.71
56270,PLOEMEUR,15,219,0.74
64990,SAINT-PIERRE-D'IRUBE,3,219,0.68
76150,MAROMME,5,219,0.72
93310,LE PRÉ-SAINT-GERVAIS,10,217,0.73
59600,MAUBEUGE,3,216,0.79
28110,LUCÉ,3,216,0.58
29170,FOUESNANT,8,215,0.69
91130,RIS-ORANGIS,11,215,0.73
85360,LA TRANCHE-SUR-MER,15,215,0.64
44120,VERTOU,6,215,0.83
34140,MČZE,11,214,0.75
76420,BIHOREL,8,214,0.68
62210,AVION,1,212,0.85
80120,QUEND,9,211,0.68
69540,IRIGNY,4,211,0.83
91320,WISSOUS,4,211,0.67
59491,VILLENEUVE-D'ASCQ,2,211,0.69
44230,SAINT-SÉBASTIEN-SUR-LOIRE,10,210,0.73
59880,SAINT-SAULVE,2,210,0.72
74460,MARNAZ,14,209,0.71
74330,POISY,5,209,0.72
44350,GUÉRANDE,10,208,0.73
21600,LONGVIC,6,208,0.78
86180,BUXEROLLES,4,208,0.68
77420,CHAMPS-SUR-MARNE,2,208,0.88
95800,COURDIMANCHE,9,208,0.77
75001,PARIS 1ER ARRONDISSEMENT,5,207,0.7
26800,PORTES-LČS-VALENCE,9,207,0.67
97434,SAINT-PAUL,10,206,0.66
68040,INGERSHEIM,13,206,0.69
78230,LE PECQ,8,205,0.7
74440,MORILLON,9,205,0.69
59150,WATTRELOS,7,205,0.73
64110,JURANÇON,7,205,0.68
40220,TARNOS,10,205,0.7
77190,DAMMARIE-LES-LYS,9,204,0.75
43750,VALS-PRČS-LE-PUY,4,204,0.7
56470,LA TRINITÉ-SUR-MER,8,203,0.67
73190,SAINT-BALDOPH,10,203,0.61
88200,REMIREMONT,17,203,0.76
34990,JUVIGNAC,2,201,0.62
33140,CADAUJAC,4,201,0.71
57800,FREYMING-MERLEBACH,8,200,0.72
56190,ARZAL,1,200,0.72
62800,LIÉVIN,2,200,0.59
94150,RUNGIS,3,199,0.67
33950,LČGE-CAP-FERRET,9,199,0.73
13270,FOS-SUR-MER,7,199,0.67
10300,SAINTE-SAVINE,14,198,0.67
25160,MALBUISSON,4,198,0.71
73210,AIME-LA-PLAGNE,9,198,0.72
93370,MONTFERMEIL,8,197,0.72
73600,MOŰTIERS,6,197,0.7
95120,ERMONT,7,196,0.71
57280,MAIZIČRES-LČS-METZ,6,195,0.53
22380,SAINT-CAST-LE-GUILDO,10,195,0.71
13310,SAINT-MARTIN-DE-CRAU,3,194,0.81
76400,FÉCAMP,10,194,0.65
42120,LE COTEAU,12,193,0.68
35600,REDON,11,193,0.66
42153,RIORGES,6,192,0.62
1000,BOURG-EN-BRESSE,6,191,0.74
97300,CAYENNE,7,190,0.7
75018,PARIS,3,189,0.6
78290,CROISSY-SUR-SEINE,10,188,0.63
6400,CANNES,7,188,0.72
63140,CHÂTEL-GUYON,5,188,0.65
83210,SOLLIČS-PONT,12,187,0.73
95290,L'ISLE-ADAM,12,186,0.69
83190,OLLIOULES,4,186,0.69
78510,TRIEL-SUR-SEINE,3,185,0.79
16340,L'ISLE-D'ESPAGNAC,3,185,0.69
86360,CHASSENEUIL-DU-POITOU,1,185,0.63
44490,LE CROISIC,13,184,0.67
14160,DIVES-SUR-MER,6,184,0.61
74290,VEYRIER-DU-LAC,7,184,0.74
6340,DRAP,3,184,0.78
45800,SAINT-JEAN-DE-BRAYE,5,184,0.78
74330,EPAGNY METZ-TESSY,11,182,0.73
69001,LYON - 1ER ARRONDISSEMENT,9,181,0.73
77220,GRETZ-ARMAINVILLIERS,8,181,0.74
40140,SOUSTONS,6,181,0.69
55430,BELLEVILLE-SUR-MEUSE,2,180,0.57
25700,VALENTIGNEY,8,180,0.62
97420,LE PORT,3,180,0.8
66210,BOLQUČRE,6,180,0.65
34110,VIC-LA-GARDIOLE,1,180,0.83
93270,SEVRAN,10,179,0.64
17440,AYTRÉ,11,179,0.74
74100,ÉTREMBIČRES,5,179,0.78
76520,FRANQUEVILLE-SAINT-PIERRE,3,179,0.59
6420,ISOLA,2,179,0.65
67201,ECKBOLSHEIM,7,179,0.74
12500,ESPALION,14,178,0.7
33290,PAREMPUYRE,2,178,0.81
60800,CRÉPY-EN-VALOIS,9,177,0.7
38420,DOMČNE,11,177,0.78
77170,BRIE-COMTE-ROBERT,10,177,0.73
95470,SURVILLIERS,5,177,0.65
74290,MENTHON-SAINT-BERNARD,6,176,0.7
35650,LE RHEU,7,176,0.75
80550,LE CROTOY,8,176,0.75
22100,TADEN,1,176,0.88
66660,PORT-VENDRES,10,175,0.73
51160,A˙-CHAMPAGNE,3,175,0.69
77120,COULOMMIERS,14,175,0.72
57140,WOIPPY,4,175,0.65
21130,AUXONNE,10,174,0.75
13370,MALLEMORT,5,174,0.69
78690,LES ESSARTS-LE-ROI,5,173,0.74
62155,MERLIMONT,13,173,0.66
72400,LA FERTÉ-BERNARD,3,173,0.72
97233,SCHŒLCHER,7,173,0.75
39200,SAINT-CLAUDE,9,173,0.75
91360,ÉPINAY-SUR-ORGE,4,173,0.82
85180,LES SABLES-D'OLONNE,2,172,0.69
59370,MONS-EN-BARŚUL,4,172,0.7
49240,AVRILLÉ,4,172,0.63
93470,COUBRON,5,172,0.84
37700,SAINT-PIERRE-DES-CORPS,5,172,0.65
94550,CHEVILLY-LARUE,4,171,0.74
42270,SAINT-PRIEST-EN-JAREZ,5,171,0.79
76250,DÉVILLE-LČS-ROUEN,4,171,0.66
17100,SAINTES,6,171,0.59
91620,NOZAY,3,171,0.69
78440,GARGENVILLE,4,171,0.78
69009,LYON,4,171,0.71
74960,MEYTHET,4,170,0.66
16100,COGNAC,9,170,0.71
77160,PROVINS,4,169,0.72
45400,FLEURY-LES-AUBRAIS,8,169,0.67
35730,PLEURTUIT,4,169,0.76
24750,BOULAZAC ISLE MANOIRE,3,168,0.79
14910,BENERVILLE-SUR-MER,6,168,0.81
95410,GROSLAY,8,168,0.75
26300,BOURG-DE-PÉAGE,8,167,0.63
73000,BARBERAZ,6,167,0.62
15100,SAINT-FLOUR,8,167,0.71
60300,SENLIS,7,167,0.65
33780,SOULAC-SUR-MER,5,167,0.76
13110,PORT-DE-BOUC,5,166,0.7
95190,GOUSSAINVILLE,10,165,0.78
49800,TRÉLAZÉ,4,165,0.75
73100,TRESSERVE,3,165,0.68
33510,ANDERNOS-LES-BAINS,7,165,0.78
83330,LE BEAUSSET,6,164,0.69
73190,CHALLES-LES-EAUX,5,164,0.76
6620,VALLAURIS,1,164,0.71
13770,VENELLES,7,164,0.73
97150,NON CONNU,9,164,0.69
62179,WISSANT,5,164,0.7
59770,MARLY,3,163,0.87
6660,SAINT-ÉTIENNE-DE-TINÉE,6,163,0.71
73530,SAINT-SORLIN-D'ARVES,3,163,0.74
91390,MORSANG-SUR-ORGE,8,163,0.67
56890,SAINT-AVÉ,5,163,0.68
94440,VILLECRESNES,3,162,0.64
63200,RIOM,15,162,0.67
20250,CORTE,9,161,0.67
60600,CLERMONT,9,161,0.69
77184,ÉMERAINVILLE,5,161,0.83
91160,SAULX-LES-CHARTREUX,3,160,0.64
22430,ERQUY,8,160,0.71
83580,GASSIN,1,160,0.88
50110,CHERBOURG-EN-COTENTIN,2,160,0.76
59131,ROUSIES,1,160,0.51
28100,DREUX,5,160,0.62
91700,VILLIERS-SUR-ORGE,2,160,0.5
78390,BOIS-D'ARCY,5,159,0.78
60270,GOUVIEUX,4,159,0.82
38330,MONTBONNOT-SAINT-MARTIN,5,158,0.8
44210,PORNIC,10,158,0.67
71600,PARAY-LE-MONIAL,10,158,0.78
27400,LOUVIERS,5,158,0.82
25370,LES HÔPITAUX-NEUFS,7,158,0.62
56470,SAINT-PHILIBERT,3,158,0.7
78540,VERNOUILLET,6,157,0.67
29360,CLOHARS-CARNOËT,3,156,0.66
67190,MUTZIG,10,156,0.73
38580,ALLEVARD,3,156,0.64
53200,CHÂTEAU-GONTIER-SUR-MAYENNE,8,156,0.67
68800,THANN,10,155,0.76
13013,MARSEILLE - 14E ARRONDISSEMENT,2,154,0.74
77176,NANDY,2,154,0.7
93430,VILLETANEUSE,4,154,0.68
73400,COHENNOZ,2,154,0.82
84120,PERTUIS,12,154,0.67
83380,ROQUEBRUNE-SUR-ARGENS,6,154,0.72
66800,SAINTE-LÉOCADIE,3,153,0.77
77400,THORIGNY-SUR-MARNE,8,153,0.75
34120,PÉZENAS,7,152,0.68
61100,FLERS,9,152,0.65
73800,MONTMÉLIAN,5,152,0.81
42170,SAINT-JUST-SAINT-RAMBERT,10,151,0.77
73100,GRÉSY-SUR-AIX,12,151,0.81
43700,BRIVES-CHARENSAC,4,151,0.76
38630,LES AVENIČRES VEYRINS-THUELLIN,9,151,0.65
29350,MOËLAN-SUR-MER,3,150,0.84
71300,MONTCEAU-LES-MINES,7,150,0.66
21700,NUITS-SAINT-GEORGES,6,150,0.6
64210,BIDART,7,150,0.73
69370,SAINT-DIDIER-AU-MONT-D'OR,9,149,0.69
12850,ONET-LE-CHÂTEAU,6,149,0.7
60260,LAMORLAYE,5,149,0.76
95300,ENNERY,1,149,0.78
69250,NEUVILLE-SUR-SAÔNE,8,149,0.69
59229,TÉTEGHEM-COUDEKERQUE-VILLAGE,2,148,0.77
17390,LA TREMBLADE,4,148,0.84
73640,SAINTE-FOY-TARENTAISE,5,148,0.71
45190,BEAUGENCY,7,148,0.74
50300,AVRANCHES,12,148,0.73
89470,MONÉTEAU,4,148,0.8
83210,LA FARLČDE,6,147,0.57
86100,CHÂTELLERAULT,4,147,0.7
37550,SAINT-AVERTIN,6,147,0.78
34430,SAINT-JEAN-DE-VÉDAS,6,146,0.73
73530,SAINT-JEAN-D'ARVES,1,146,0.58
87280,LIMOGES,2,146,0.67
42290,SORBIERS,7,146,0.78
95360,MONTMAGNY,4,145,0.75
13180,GIGNAC-LA-NERTHE,2,145,0.61
78780,MAURECOURT,2,144,0.77
44830,BOUAYE,3,144,0.62
97229,LES TROIS-ÎLETS,8,143,0.72
14610,ÉPRON,1,143,0.85
95480,PIERRELAYE,5,143,0.62
21370,PLOMBIČRES-LČS-DIJON,3,143,0.69
97419,LA POSSESSION,3,143,0.74
38410,VAULNAVEYS-LE-HAUT,6,141,0.8
57190,FLORANGE,10,141,0.67
73130,SAINT FRANÇOIS LONGCHAMP,3,141,0.57
14440,DOUVRES-LA-DÉLIVRANDE,3,140,0.6
38570,TENCIN,5,140,0.68
76430,SAINT-ROMAIN-DE-COLBOSC,2,140,0.72
63300,THIERS,5,140,0.65
38150,ROUSSILLON,7,140,0.69
34790,GRABELS,2,140,0.74
34400,LUNEL,9,139,0.75
71700,TOURNUS,4,139,0.65
33370,ARTIGUES-PRČS-BORDEAUX,2,139,0.7
65100,ASPIN-EN-LAVEDAN,1,139,0.83
26290,DONZČRE,4,138,0.62
35235,THORIGNÉ-FOUILLARD,2,138,0.71
54700,PONT-Ŕ-MOUSSON,4,138,0.68
42490,FRAISSES,7,138,0.6
73710,PRALOGNAN-LA-VANOISE,5,138,0.57
57160,SAINTE-RUFFINE,1,137,0.64
58200,COSNE-COURS-SUR-LOIRE,6,137,0.74
17340,CHÂTELAILLON-PLAGE,8,136,0.78
67160,WISSEMBOURG,10,135,0.62
74360,LA CHAPELLE-D'ABONDANCE,5,135,0.67
44110,CHÂTEAUBRIANT,8,135,0.71
69730,GENAY,3,134,0.72
87220,FEYTIAT,1,134,0.72
91860,ÉPINAY-SOUS-SÉNART,1,134,0.63
97190,LE GOSIER,5,134,0.72
84700,SORGUES,6,133,0.7
85340,LES SABLES-D'OLONNE,2,133,0.81
22300,LANNION,6,133,0.66
57320,BOUZONVILLE,2,133,0.57
91700,FLEURY-MÉROGIS,3,132,0.76
67310,WASSELONNE,8,132,0.67
47200,MARMANDE,5,132,0.74
95400,VILLIERS-LE-BEL,6,132,0.66
39570,MONTMOROT,5,132,0.52
97228,SAINTE-LUCE,1,132,0.73
30130,PONT-SAINT-ESPRIT,2,131,0.72
66160,LE BOULOU,6,131,0.67
77700,SERRIS,2,131,0.78
44740,BATZ-SUR-MER,5,131,0.79
61200,ARGENTAN,5,131,0.73
69530,BRIGNAIS,7,130,0.73
29480,LE RELECQ-KERHUON,6,130,0.63
17138,PUILBOREAU,2,130,0.74
35120,DOL-DE-BRETAGNE,8,130,0.69
83490,LE MUY,4,130,0.65
30400,VILLENEUVE-LČS-AVIGNON,4,129,0.71
97110,POINTE-Ŕ-PITRE,5,129,0.71
78260,ACHČRES,5,129,0.74
95230,SOISY-SOUS-MONTMORENCY,7,129,0.69
39400,HAUTS DE BIENNE,7,129,0.65
92430,MARNES-LA-COQUETTE,2,129,0.54
91080,ÉVRY-COURCOURONNES,3,129,0.83
67960,ENTZHEIM,3,129,0.73
2100,SAINT-QUENTIN,1,128,0.7
97118,SAINT-FRANÇOIS,2,128,0.5
69520,GRIGNY,5,128,0.64
73350,BOZEL,5,128,0.76
48100,MARVEJOLS,12,128,0.72
6560,VALBONNE,1,128,0.52
95260,BEAUMONT-SUR-OISE,8,128,0.72
70100,GRAY,5,127,0.72
33320,EYSINES,4,127,0.69
68130,ALTKIRCH,8,127,0.78
89100,PARON,3,127,0.68
78630,ORGEVAL,4,127,0.76
69660,COLLONGES-AU-MONT-D'OR,8,126,0.72
18230,SAINT-DOULCHARD,1,126,0.6
17620,ÉCHILLAIS,2,126,0.57
49124,SAINT-BARTHÉLEMY-D'ANJOU,2,126,0.77
69230,SAINT-GENIS-LAVAL,6,126,0.69
27340,MARTOT,1,125,0.51
11510,FITOU,1,125,0.64
67560,ROSHEIM,6,125,0.73
91210,DRAVEIL,9,125,0.73
58300,DECIZE,4,125,0.76
31780,CASTELGINEST,6,125,0.79
33970,LČGE-CAP-FERRET,1,125,0.55
74800,SAINT-PIERRE-EN-FAUCIGNY,4,125,0.75
69560,SAINTE-COLOMBE,8,125,0.66
76410,SAINT-AUBIN-LČS-ELBEUF,2,125,0.78
59810,LESQUIN,1,124,0.65
24120,TERRASSON-LAVILLEDIEU,3,124,0.76
38340,VOREPPE,5,124,0.73
51430,BEZANNES,1,124,0.88
83120,LE PLAN-DE-LA-TOUR,2,124,0.79
78310,MAUREPAS,2,124,0.76
35890,LAILLÉ,1,124,0.67
