code_postal,ville,adresse,lat,long,lots_habitation,score_immeuble
54000,Nancy,58 r henri deglin 54000 Nancy,48.700328,6.176923,28,0.61
31700,Blagnac,3 r de la croix blanche 31700 Blagnac,43.633452,1.398537,28,0.54
67200,Strasbourg,24 Route d'Oberhausbergen 67200 Strasbourg,48.591567,7.722257,28,0.54
29600,Morlaix,7 r de la vierge noire 29600 Morlaix,48.587499,-3.828741,28,0.5
81000,Albi,26B av marechal alphonse juin 81000 Albi,43.918191,2.131223,28,0.5
74000,Annecy,20B av de france 74000 Annecy,45.908253,6.139862,28,0.61
91800,Brunoy,3 Rue du Réveillon 91800 Brunoy,48.698448,2.501771,28,0.86
76000,Rouen,45 r mustel 76000 Rouen,49.450444,1.069987,28,0.64
33000,BORDEAUX,61 r minvielle 33000 BORDEAUX,44.854397,-0.573784,28,0.89
68350,BRUNSTATT,22 r des vergers 68350 BRUNSTATT,47.71341,7.318464,28,0.5
92130,Issy-les-Moulineaux,35 r pierre poli 92130 Issy-les-Moulineaux,48.821833,2.246915,28,0.61
62220,CARVIN,2 r du progres 62220 CARVIN,50.492933,2.958615,28,0.54
50120,Cherbourg-en-Cotentin,3 r vauban (equeurdreville-hainneville) 50120 Cherbourg-en-Cotentin,49.652405,-1.65264,28,0.71
94130,Nogent-sur-Marne,8 r lequesne 94130 Nogent-sur-Marne,48.839299,2.483758,28,0.82
95000,CERGY,28-30 r sully 95000 CERGY,49.032703,2.070582,28,0.79
34280,La Grande-Motte,193 r des voiliers 34280 La Grande-Motte,43.558714,4.073013,28,0.57
43000,Le Puy-en-Velay,5A r de la ronzade 43000 Le Puy-en-Velay,45.040628,3.880536,28,0.79
69210,Lentilly,32 rte de france 69210 Lentilly,45.827899,4.668205,28,0.89
34200,SETE,5 qu d'alger 34200 SETE,43.402472,3.699715,28,0.86
69008,LYON,32 r professeur ranvier 69008 LYON,45.734326,4.886666,28,0.57
75016,Paris,32 r lauriston 75016 Paris,48.87068,2.291344,28,0.79
83310,Cogolin,3 imp jean aicard 83310 Cogolin,43.263787,6.580036,28,0.79
67000,Strasbourg,12a Allée Spach 67000 Strasbourg,48.594492,7.769604,28,0.86
92370,CHAVILLE,7 Rue du Gros Chêne 92370 Chaville,48.809626,2.194831,28,0.79
40130,Capbreton,39 av jean lartigau 40130 Capbreton,43.635682,-1.428271,28,0.61
76190,Yvetot,14T av georges clemenceau 76190 Yvetot,49.619868,0.761023,28,0.57
42100,SAINT ETIENNE,24 r desire claude 42100 SAINT ETIENNE,45.428667,4.388964,28,0.57
73260,Grand-Aigueblanche,15 Allée du Coteau Ensoleillé (Aigueblanche) 73260 Grand-Aigueblanche,45.507923,6.503153,28,0.61
76420,Bihorel,112 r boieldieu 76420 Bihorel,49.460841,1.126045,28,0.57
6660,ST ETIENNE DE TINEE,Chemin des Colettes 06660 Saint Etienne de Tinée,44.227908,6.940739,28,0.82
34500,BEZIERS,8 Rue Suzanne Lenglen 34500 Béziers,43.351285,3.227599,28,0.57
89000,AUXERRE,3 Boulevard Vauban 89000 Auxerre,47.796466,3.56417,28,0.61
54300,LUNEVILLE,Rue de l'Abbé Grégoire 54300 LUNEVILLE,48.597756,6.482662,28,0.54
57000,Metz,4 r wilson 57000 Metz,49.110372,6.169994,28,0.64
94220,CHARENTON LE PONT,8 Rue d'Estienne d'Orves 94220 Charenton-le-Pont,48.824059,2.414211,28,0.89
94100,Saint-Maur-des-Fossés,57 qu de bonneuil 94100 Saint-Maur-des-Fossés,48.78468,2.493264,28,0.71
94170,Le Perreux-sur-Marne,101 av gabriel peri 94170 Le Perreux-sur-Marne,48.837251,2.508754,28,0.79
44200,Nantes,6 r arthur iii 44200 Nantes,47.207068,-1.56254,28,0.89
69003,Lyon,19 Rue Roux-Soignat 69003 Lyon,45.746303,4.881123,28,0.68
33200,Bordeaux,335 r pasteur 33200 Bordeaux,44.847403,-0.62326,28,0.86
67540,Ostwald,10 all rene cassin 67540 Ostwald,48.553219,7.710896,28,0.68
59240,Dunkerque,88 r napolelon dubois 59240 Dunkerque,51.034075,2.397841,28,0.82
35800,Dinard,54 av george v 35800 Dinard,48.631956,-2.052,28,0.82
83980,Le Lavandou,54 av andre gide 83980 Le Lavandou,43.141994,6.379504,28,0.86
69310,PIERRE BENITE,103 BOULEVARD DE L'EUROPE 69310 PIERRE BENITE,45.699705,4.823483,28,0.75
75004,PARIS,13 Place des Vosges 75004 Paris,48.855683,2.364489,28,0.68
75012,Paris,13 Rue de Toul 75012 Paris,48.838515,2.402542,28,0.64
31200,toulouse,1 Rue Charles Baudelaire 31200 Toulouse,43.612439,1.424329,28,0.5
94300,VINCENNES,46 Avenue Paul Déroulède 94300 Vincennes,48.849125,2.451802,28,0.89
31120,ROQUES,46 Avenue des Pyrénées 31120 Roques,43.504278,1.366494,28,0.75
