nom_syndic,nb_immeubles_cibles,total_places_parking
SOC LANGUED ADMINIST GESTION IMMOBILIERE ,53,4889
CRAUNOT ,53,3058
PARENT - GOURGUE ,53,2451
COURTES EGUIAZABAL CPE ,53,2904
FONCIA PARIS RIVE DROITE ,53,5082
CABINET GENDROT ,53,2189
CITYA RUHL-SEGESCA ,53,2869
AGI AGENCE GENERALE IMMOBILIER ,53,3447
SOC EXPANSION CIAL REALISAT IMMOB GESTIO ,53,4333
CITYA IMMOBILIER EVRY ,52,2744
SA BIMBENET ,52,2722
DOMICIA IMMOBILIER ,52,4017
IMMO DE FRANCE PROVENCE ,52,4062
CGERE ,52,3604
FONCIA VAL DE VIENNE ,52,1967
IMHOTEP ,51,2135
IMMO 4 ,51,2729
CONFIANCE IMMOBILIER ,51,4114
CAPITAL IMMOBILIER ,51,2081
CABINET EMERAUDE GESTION IMMOBILIERE  PAR ABREVIATION  CEGI ,51,2083
FONCIA LOIRET ,51,2456
VACHERAND IMMOBILIER ,50,2943
FISCHER IMMOBILIER GESTION ,50,1409
ACANTYS IMMOBILIER ,50,2387
PERQUIN IMMOBILIER ,50,1393
ARTEMIO ,49,2083
I-MMOCOOP ,49,2901
CAGIM - SOGEDIM ,49,2093
REAL 31 ,49,2991
MOSER ET SABLES IMMOBILIER ,49,2378
K.S. IMMO SERVICE ,48,1217
GESTION IMMOBILIERE MODERNE ,48,2850
D4 IMMOBILIER ,48,4100
RAFAEL IMMOBILIER ,48,3375
DURAND MONTOUCHE ,48,2590
FONCIA DES LACS ,48,2599
FONCIA SEINE OUEST ,48,3160
GESIM ,48,3569
AUTOROUTE SUD ,47,2919
SACCLO ,47,3190
FONCIA SAGI ,47,2999
CITYA BOURGUIGNON PALLUAT ,47,2258
SILOGE ,47,2043
ALSIMMO ,46,1808
AGENCE SAINT SIMON ,46,3059
REGIE DUPRONT ,46,1953
LOISELET ET DAIGREMONT PARIS EST ,46,4276
CABINET CLAUDE SANCHEZ ,46,2532
FONCIA VENDEE ,46,2698
L3D IMMO ,45,2273
SOCIETE DE GESTION DE LA PROPRIETE IMMOBILIERE PRIVEE SOGEPRIM ,45,1437
CITYA BERANGER ,45,2634
FONCIA CIMES DE SAVOIE ,45,2283
ASL GESTION ,45,2835
SQUARE HABITAT CHARENTE-MARITIME DEUX-SEVRES ,45,1670
A2I ,45,2532
AUDOUARD SYNDIC ,44,2375
SOCIETE DE GESTION IMMOBILIERE ,44,1633
IMMO DE FRANCE SUD MASSIF CENTRAL ,44,1557
SOC DEVICTOR IMMOBILIER ,44,2359
SO.GI.CO ,44,2449
LES TROIS ROCHES ,44,1897
CHRISTELLE CLAUSS IMMOBILIER ,44,1016
