nom_syndic,nb_immeubles_cibles,total_places_parking
BUREAU DE GESTION ET DE TRANSACTIONS IMMOBILIERES BGTI ,20,1261
CABINET DEVICTOR ,20,1049
OCTO IMMO ,20,1125
MEDITERRANEENNE DE GESTION IMMOBILIERE ,20,1134
CABINET BACHELLERIE ,20,821
AGENCE POZZO ,20,568
ATHOME IMMOBILIER ,20,621
MARTIN GESTION ,20,1447
SAVOIE BATIMENT MODERNE ,20,1187
CITYA LE LION ,20,863
CITYA IMMOBILIER LA POSTE ,20,746
SUD GESTION IMMOBILIER ,20,908
ACTION AGIR GESTION IMMOBILIERE ,19,1244
ETUDE GUEGAN IMMOBILIER ,19,726
CABINET VIVIER DORANCE ,19,1238
TOULOUSE METROPOLE HABITAT ,19,1044
CABINET GRENECHE IMMOBILIER ,19,803
REGARDS ,19,1177
J.P.M. IMMOBILIERE ,19,713
ETUDE ET GESTION IMMOBILIERE ,19,1842
SOC COOPERATIVE HLM NOTRE COTTAGE ,19,726
MARTINOT IMMOBILIER TROYES ,19,731
GML IMMO ,19,1444
DAUCHEZ COPROPRIETES ,19,1813
GAGNEUX SERVICES IMMOBILIER (EN ABREGE G.S.I) ,19,1146
SOCIETE D'ETUDES POUR LE DEVELOPPEMENT ECONOMIQUE ET IMMOBILIER ,19,733
LUDIMMO ,19,709
AGENCE DE L ILL ,19,609
ROYAL IMMO ,19,1358
AGENC GESTION TRANS IMMOB AZUR ,19,711
SOC EXPL AGENCE FERRAN ,19,1648
ICC SYNDIC ,19,829
CABINET MICHAU ,19,950
SOGESYM ,19,1181
AGENCE IMMOBILIERE COGOLIN LOC VTE ,19,1248
SAINT MARTIN IMMOBILIER ,19,707
CITYA IMMOBILIER ANGERS ,19,623
CITYA BLOIS ,19,824
UNICIL SOCIETE ANONYME D'HABITATION A LOYER MODERE ,19,1800
TRANSIM 93 ,19,1118
CABINET IMMOBILIER LARS'JEAN ,19,882
GAMBETTA IMMOBILIER ,19,1096
SEGITO ,19,657
SARIA GESTION ,19,1284
CITYA DESCAMPIAUX LAMBERSART ,19,1207
CABINET M DE LA COMBE ,19,689
C.J.B. ,18,870
BROSSET VAL DE LOIRE ,18,1872
CITYA FLANDRES ,18,1229
VIADUC COPRO CONSEILS ,18,614
ADIMMO FINANCES ,18,651
MAVILLE IMMOBILIER ADB OUEST ,18,1360
COULANGE IMMOBILIER ,18,2062
SARL LEGAL'IMMO ,18,1678
ESTIA ,18,887
SARL CABINET DANIEL LAMY ,18,574
COPROX ,18,1986
CLEMENCEAU GESTION IMMOBILIERE ,18,395
AGENCE LAUZIER ,18,772
COMPAGNIE IMMOBILIERE PERRISSEL ET ASSOCIES ,18,608
FONCIA ATLANTIQUE ,18,885
FAURE IMMOBILIER ,18,985
FLANDRE OPALE HABITAT SOCIETE ANONYME D HABITATION A LOYER MODERE ,18,553
CITYA LECOURTOIS ,18,922
GERER IMMOBILIER REUNION ,18,923
GERARD SAFAR SAS ,18,4143
CABINET BGL ,18,598
AGENCE SECKLER ,18,297
GROUPE SOGESTIM ,18,1301
NOCELLI PATRIMOINE ,18,860
S.A.B.I. ,18,852
AGENCE IMMO ,18,649
ERNOUL LE BERRE GESTION IMMOBILIER ,18,686
"LA COOPERATIVE D'HABITATIONS SA COOPERATIVE D'INTERET COLLECTIF D'HABITATIONS A LOYER MODERE, SOCIETE A CAPITAL VARIABLE ",18,1002
IMMOASSOCIES GESTION ,18,1064
BE IMMOBILIER ,18,1339
OFFICE PUBLIC DE L 'HABITAT - OPAC DE L'OISE ,18,940
PORTES IMMOBILIER ,18,980
SABLETTES IMMOBILIER ,18,855
WALLAERT IMMOBILIER ,18,584
CERSOY & GIRARD ,18,806
BV ABRAYSIE CONSEIL ,18,662
CABINET PAUL STEIN ,18,1453
WSR IM MO ,18,979
L'IMMOBILIERE - ADMINISTRATEUR DE BIENS ,18,723
CENTRE IMMOBILIER DU POITOU EN ABREGE C.I.P. ,18,1205
VACHERAND IMMOBILIER MARCQ EN BAROEUL ,18,1196
LES CLEFS DE L'IMMOBILIER ,18,705
CHAPLAIN IMMO ,17,828
CITYA BELVIA VALENCIENNES ,17,1056
L IMMOBILIERE BUECHER S A R L ,17,686
C.G.P.I. ,17,593
CITYA BELVEDERE ,17,1195
DOMITEAM ,17,1409
G P S IMMOBILIER ,17,703
R.L.MEILLANT & F.BOURDELEAU ,17,1460
AGENCE IMMOBILIERE DE L'EST LORRAIN ,17,485
SARL INVESTISSEMENTS LOISIRS ,17,1174
DE MAISON PIERRE CATANE ,17,1053
JAMK ,17,777
OZ'IMMO ,17,867
PASFUS ,17,401
GERANCIMO HAUTS DE FRANCE ,17,948
CABINET BORE ,17,1440
GRIMMELPONT IMMOBILIER ,17,663
PH2 IMMOBILIER ,17,658
PETGES ET DUFRANC SA ,17,786
AIX LA DURANNE IMMOBILIER ,17,1134
AGENCE VETIER IMMOBILIER ,17,339
GIA MAZET ,17,1753
IMMOVANCE SYNDIC ,17,1595
MORVAN ET EDGAR QUINET SA ,17,987
IMMO DE FRANCE AGENCE BELLE RIVE ,17,527
MDRC SYNDIC ,17,544
CABINET SCHOEPF - DESAULLES ,17,511
SQUARE HABITAT SUD RHONE ALPES ,17,580
CITYA TERMEAU GARNIER ,17,756
CLM IMMO ,17,828
SARL FB & MB ,17,810
CARROZ IMMOBILIER ,17,826
ESPACE IMMOBILIER LYONNAIS ,17,1171
SAINT CLAIR IMMOBILIER ,16,603
ALBANNE IMMOBILIER ,16,865
PROXI ET CO ,16,892
IMMOBILIERE DU CHATEAU ,16,1150
REGAUDIE GESTION DE COPROPRIETE BMI ,16,284
LA REGIE IMMOBILIERE ,16,1079
L. ROUX IMMOBILIER ,16,590
LANKIDEAK ,16,557
CITYA PONT-DE-CHERUY ,16,1089
AREA ,16,336
ARCHI-TECH ,16,1041
KOM A LA KAZ ,16,942
JULLIEN ET ALLIX ,16,523
LL GESTION ,16,1451
LMHT ,16,1052
SYNDIC ECO 38 ,16,442
CGPI-SOGAB ,16,581
LOUIS LAIRE ET FILS ,16,503
CABINET IPM IMMOBILIER ,16,729
SARL AGENCE BARTHOU ,16,891
CITYA ALLIANCE IMMOBILIER ,16,485
ATRIUM GESTION PARIS 15 ,16,2230
ATTITUDE SYNDIC ,16,750
CABINET TREHARD ,16,370
CABINET SOULARD ,16,1350
REGIE GENERALE DE LYON ,16,696
COQUILLAT GESTION ,16,641
CABINET CHARVIN-MEGEVAND ,16,710
AGENCE LE PALMIERS ,16,1140
REGIE DE VENDIN ,16,718
GELLOZ IMMO ,16,1270
AGENCE SYGESTIM ,16,410
SOC DENFERT IMMOBILIERE ,16,1436
NATIVE IMMOBILIER ,16,678
SOC GESTION IMMOBILIERE ,16,1320
MARTINIQUE PATRIMOINE IMMOBILIER ,16,697
NICOLAS BOUSCASSE ADMINISTRATEUR DE BIENS ,16,1173
LYONNAISE DE GESTION PEDRINI - LGP ,16,1121
AMARA GESTION ,16,517
AGENCE IMMOBILIERE LORI ,16,391
FONCIA BOUCLES DE SEINE ,16,791
ROUXEL-RIPOLL ,16,869
AGENCE DE L ANJOU ,16,635
PATRIMMOGEST ,16,562
HOME IN TIME ,16,551
IMMOSENS COPRO ,16,764
AIGUILLON RESIDENCES ,16,503
GESTION GROUPE LEVILLAIN ,16,450
ORIM ,16,619
CABINET BEUGNOT ,16,752
C PANTEL IMMO ,16,628
SARL YANN MAUMEJEAN ,16,525
JACQUES OLIVIE ET ASSOCIES ,16,541
SARL GAMBIN IMMOBILIER ,16,1316
SOCIETE GESTION IMMOBILIERE DE BECON ,16,707
CAPIGI ,16,703
ACTU'ELLES REGIE ,16,416
ACM ,16,262
VEST'IMMO ,16,443
VALOREAM ,16,1406
TACTIC IMMO ,16,881
VANDOME IMMOBILIER ,15,867
TRIPLEX ,15,374
CABINET IMMOBILIER NOUALS ET BINEL ,15,520
DUMUR IMMOBILIER ,15,877
SYNDIC 21 ,15,681
CABINET LEDOUX ,15,767
COTTEAU ,15,467
AGENCE DE SEINE ET MARNE ,15,392
ESVAN IMMOBILIER ,15,441
CABINET HARDY ,15,488
SARL FLOLO ,15,1374
SEGERAD ,15,547
SERMACO GESTION ,15,251
AGENCE IMMOBILIERE COMMERCE - AGENCE DES PLATEAUX ,15,833
FAC IMMOBILIER ,15,579
CABINET EVEN DU FOU ,15,578
FOLLIOT 50 ,15,413
S.A.S BC IMMO ,15,553
DESCAMPIAUX-DUDICOURT ,15,1118
SARL GIMS ,15,925
ACTIF IMMOBILIER SARL ,15,649
AVIGEST ,15,588
L2J - ASSOCIES ,15,813
ATLANTIQUE HABITATIONS SA HLM ,15,660
AMI PARIS ,15,882
AMALABA ,15,405
IMMOPLESSIS ,15,1224
IMMOBILIER DU GRAND PARIS ,15,525
CABINET THINOT ,15,1194
ADMINISTRATION GESTION ET TRANS.IMMO. ,15,1157
CITYA JEANNE D'ARC IMMOBILIER ,15,859
CITYA IMMOBILIER S  CHUPIN ,15,802
ALSACE PROMOTION GESTION ,15,454
SOCIETE DE GESTION LOCATIVE ,15,1289
A.D.J. GESTION ,15,734
LE SYNDIC ,15,1666
LE DOME IMMOBILIER ,15,1375
BIZEUL IMMOBILIER ,15,454
MOBIXEL ,15,948
AGEMO ,15,299
CITYA OCIMMO ,15,913
GLV IMMOBILIER SYNDIC ,15,885
GESPAC IMMOBILIER ,15,2122
GERANCE SYNDIC MOURET ,15,316
IAC ,15,681
HARMONIE GESTION ,15,825
BILAN PATRIMOINE ,15,621
CABINET REYNAUD ET REBAUDIERES ,15,832
CLAUDON LLOMBART GESTION IMMOBILIERE - CABINET CLGI ,15,1139
COTOIT ,15,300
GALYO ,15,627
CABINET CHAROLLOIS ,15,594
CABINET CASELLAS ,15,852
CABINET AUMOND GIBON PRAIRIE ,15,605
CITYA VENDOME LUMIERE ,15,632
REGIE DE L'OPERA ,15,684
REGIE IMMOBILIERE FIDUCIA ,15,742
FAELENS IMMOBILIER ,15,805
ACTA IMMOBILIER ,14,796
LGI ,14,610
CAP IMMOBILIER ,14,534
SOCIETE DIONYSIENNE DE COPROPRIETE ,14,904
LOGEO GESTION ,14,664
CAMILLERI GESTION ,14,528
VIVIEN CUSSAC-PICOT IMMOBILIER ,14,643
IMMOBILIERE MARNE ,14,684
INSULA ,14,673
STE FONCIERE FINCK S2F ,14,846
CABINET SIBOUT IMMOBILIER ,14,632
BIARRITZ ORGANISATION IMMOBILIER SERVICE ,14,790
ALTER GESTION IMMOBILIER ,14,777
IMMOBILIER G. COGE ,14,752
SQUARE HABITAT PROVENCE COTE D'AZUR ,14,435
SOCIETE DU CABINET JEAN HAMEON ,14,1411
MYRABO ,14,1121
AFIMO ,14,301
CABINET LEDAIN ET ASSOCIES ,14,329
ELVIREX ,14,541
DP CARRE ,14,821
EGIDE ,14,1557
CIMA ,14,534
CABINET GABSTAN ,14,398
AGENCE DE GESTION DE COPROPRIETES ,14,396
AGENCE DI LUCA ,14,1175
EVAM-GID ,14,982
ETUDE DOLET GESTION ,14,647
DAVID GESTION ,14,339
SARL M.T.I. ,14,402
SABL IMMO ,14,602
CABINET ETIENNEY MARNE IMMOBILIER ,14,758
CILOGE ,14,784
TROLLAT & BERRY IMMOBILIER ,14,552
AB GESTION 34 ,14,797
CG IMMOBILIER ,14,553
CHESNAY IMMOBILIER ,14,506
EFFICIENCE ,14,869
REGENCY GESTION ,14,333
ORGANIGRAM ,14,951
GUILLERMINET SARL ,14,451
AMB GESTION ,14,1036
M & M CABINET IMMOBILIER ,14,1040
MALSH PROPERTY ,14,874
AVIM IMMOBILIER ,14,947
AMI BORDEAUX ,14,655
MAYOTTE SYNDIC ,14,638
CITYA PERI ,14,825
CABINET CARPANETTI ,14,931
CLERDOME ,14,853
CABINET PERON PATRIMOINE ,14,851
SOC JEAN TURMEL ET FILS ,14,1114
CITYA PERIGUEUX IMMOBILIER ,14,553
GROUPE INVEST ,14,924
AGENCE BABUT - CENTURY 21 ,14,834
PROXIMMO ,14,376
R. J. TRODE ET COMPAGNIE ,14,901
CABINET DEMOUGIN ,14,474
CLEAR LG IMMO ,14,268
AGENCE IMMOBILIERE SCHWARTZ ,14,451
FONCIA PARIS EST ,14,1810
CABINET IMMOBILIER BOUJAN ,14,355
URBIA ,13,314
VESTA SYNDIC ,13,518
FONCIA ALSACE BOURGOGNE FRANCE-COMTE ,13,541
AGENCE DE RECHERCHE IMMOBILIERE ET DE SERVICES ,13,416
AGENCE DE L'OLIVIER ,13,566
SOC COOP HABITATION LOYER MODERE ,13,367
AGENCE DE CERNAY ,13,808
SAS BIGAUT & ASSOCIES ,13,604
DREAM HOUSE ,13,687
CENTRE D'AFFAIRES IMMOBILIERES ,13,313
CABINET JEANSELME ,13,497
1001 VIES HABITAT ,13,800
CITYA BELVIA RUNGIS ,13,725
CITYA BELVIA GRAND'PLACE ,13,1093
CITYA COTE DE BEAUTE ,13,455
CABINET IMMOBILIER RIPOLL ,13,833
EGTI EUROPEENNE DE GESTION ET DE TRANSAC ,13,290
DONNA COPRO ,13,410
QUADRIMM ,13,753
SANARY IMMO GEST ,13,690
CABINET D ADMINISTRATION DE BIENS CHEMIN BOYET ,13,265
REGIE ROCHON - LESNE ,13,826
CABINET IMMOBILIER DE LASCOURS ,13,490
AGENCE IMMOBILIERE SERVICE ,13,418
REGIE POZETTO ,13,494
CABINET AGIMMO ,13,545
AIGOS ,13,436
POINSON*PIERRE/ ,13,371
IBAY COMPIEGNE ,13,523
CABINET CHATEAUBRIAND IMMOBILIER ,13,557
CABINET MICHEL GUILLEMOT ,13,581
CABINET MERY-SANSON ,13,333
FRABAT ,13,712
CABINET ABD GESTION ,13,392
NICOLAS ASSOCIES ,13,377
C.S.M. IMMOBILIER ,13,366
REGIE CARRON ,13,667
GE.C.I.C.A. ,13,354
OXIGEN ,13,906
PATRIMOINE ET HABITAT ,13,447
PATRIMONIA GESTION ,13,901
INVESTISSEMENT IMMOB OUEST ,13,692
ICR 54 ,13,957
IMMO DE FRANCE BFCA ,13,444
IMMO BELLE ,13,763
IMMO DE FRANCE COTE D AZUR ,13,1283
IMMOBILIERE COMTOISE ,13,380
IMMOBILIERE ET FONCIERE DE NORMANDIE ,13,404
IMMOBILIERE DU RHIN ,13,514
IMMOBILIER 12 ROUERGUE AGENCE ,13,508
BERSOT GESTION LOCATION ,13,949
ISAUTIER IMMOBILIER SARL ,13,605
SQUARE HABITAT TROYES ,13,369
STE DE GESTION ET DE DIFFUSION IMMOBILIER ,13,869
CABINET ROUERGAT - S  ALARY - E  TREBOSC ,13,590
ALTIMO ,13,497
CABINET ROGER ,13,546
BERTRAND IMMOBILIER ,13,537
YAOUANC IMMOBILIER ,13,604
AUSTRAL IMMOBILIER REUNION ,13,538
AXTERIA ,13,668
L IMMOBILIERE GUIGNARD ,13,527
L'IMMOBILIER DU WARNDT ,13,232
AMPLITUDE IMMOBILIER ,13,592
CITYA IMMOBILIER HAUTE SAVOIE ,13,961
CITYA EUROPE IMMO CONSEIL ,13,911
GESTION IMMOBILIERE SAINT MAUR ,12,309
A.B.S.I.S. IMMOBILIER ,12,650
3 C GESTION IMMOBILIERE ,12,515
WALTER GESTION ,12,446
IMMOBILIERE DES FAUVELLES ,12,236
ACTIF IMMOBILIER ,12,891
IMMOBILIERE EURO FONCIERE ,12,174
COO.PAIRS ,12,745
PRO GESTION ,12,1311
CITYA HOTEL DIEU ,12,1074
STAR EUROPE IMMOBILIER ,12,587
COOPEXIA ,12,918
REGIE DU LYONNAIS ,12,475
MIRADOUR IMMOBILIER ,12,490
SYNDICAP IMMOBILIER ,12,876
CITYA ROOSEVELT ,12,483
CABINET PIERRE GINESTET ,12,482
LA CENTRALE IMMOBILIERE ,12,661
APTEOS ,12,647
CITYA LIBERTE ,12,666
LM IMMOBILIER ,12,668
COPRIM-LA ROCHELLE ,12,776
DOMO'GEST ,12,268
MAGPLUS IMMOBILIER ,12,1523
JURIN IMMOBILIER ,12,715
MA RESIDENCE ,12,544
AGENCE DU 8 MAI ,12,349
EURL EMMANUEL VIALLET ,12,363
EURL TORRENS IMMOBILIER ,12,711
AGENCE IMMOBILIERE DE BELLEVUE ,12,418
CABINET IMMOBILIER DRUJON D'ASTROS ,12,627
AVENEL & LINTOT ,12,533
AGENCE DU CASINO GESTION ,12,195
CHAMPENOISE DE GESTION ,12,578
2 BE IMMO ,12,823
NASEU ,12,450
SAINT EX IMMOBILIER ,12,376
CABINET BARTHES ,12,1156
REPL IMMOBILIER ,12,686
ALL IMMOBILIER ,12,602
CITYA IMMOBILIER MEUNIER ,12,517
ABEILLE IMMOBILIER ,12,1060
CEGIP-CABINET ETUDES GESTION IMM.PATRIM. ,12,829
THOMAS IMMOBILIER ,12,368
LE FOYER DE L'ISERE -SA COOP PROD HABIT ,12,352
ATRIUM-SUD CONSEIL IMMOBILIER ,12,410
LCDB IMMOBILIER ,12,575
A DEGUELDRE P DEGUELDRE ET CIE ,12,968
JMJ IMMOBILIER SUD DE SEINE ,12,552
I2A ,12,366
ASA GESTION IMMOBILIERE ,12,493
AX'IMM ,12,334
AGENCE BE ,12,358
GENERALE IMMOBIL CONSEIL & COMMUNICATION ,12,669
CABINET PAQUEREAU ,12,535
AK IMMO CONSEIL ,12,299
JFT GESTION ,12,448
REGIE BOUVET ET BONNAMOUR ,12,504
AMANS IMMOBILIER ,12,532
MIDI IMMOBILIER SERVICE ,12,423
I-2MO ,12,791
DOMINIQUE G FESSART SAS ,12,638
SCSB ,12,611
COMPAGNIE GENERALE DE GESTION ET DE SYNDIC ,12,404
AGENCE GAVARD ,12,456
GOHEL GRAND-GUILLOT BASTARD ,12,431
PYRENEES IMMOBILIER ,12,486
L'ALSACIENNE DE GESTION D'IMMEUBLES ,12,385
GESTRIA ,12,290
CABINET SRI ,12,803
CABINET PARISIEN D'ADMINISTRATION DE BIENS ,12,667
CENTRALE IMMOBILIERE DE GESTION ,12,716
CRISTAL HABITAT ,12,354
IMMO 971 ,12,819
OPAC DE L'ISERE ,12,440
ECOPILOTE ,12,320
B2C IMMOBILIER ,12,863
B ET S IMMOBILIER ,12,363
IMMOTYON ,12,548
CABINET DELAIRE ,12,466
SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ALTEAL ,12,796
SOCIETE IMMOBILIERE SELECTION PROVENCALE ,12,747
VALIERE CORTEZ SYNDIC DE COPROPRIETE ,11,672
YVES DUVAL ,11,188
AGENCE IMMOBILIERE LE CHAMROC SARL ,11,502
IMMOBILIERE DE L'ARC ,11,508
VINCENT HUET ,11,490
REGIE LI ,11,330
IMMO GESTION PERRIN ,11,423
GROUPE IMMOBILIER AMI ,11,515
SQUARE HABITAT CENTRE OUEST ,11,560
CONSEIL INVESTIS FINANCEMENT IMMOBILIERS ,11,375
COGESTION ,11,137
ACCORD ,11,765
THIERRY IMMOBILIER BRETAGNE ,11,570
PONTIM GESTION IMMOBILIERE ,11,382
ALARCON IMMOBILIERS ,11,530
MR EXTERNALISATION ET ASSISTANCE ,11,430
N G PARTNERS ,11,475
LA STRASBOURGEOISE DE GESTION LOCATIVE ,11,234
IMMOBILIERE BASSE SEINE ,11,752
CALOT SYNDIC ET GESTION ,11,474
OFFICE PUBLIC HABITAT SEINE ET MARNE ,11,695
CITYA URBANIA CARPENTRAS ,11,483
BURNIER IMMOBILIER ,11,415
ANGERS SYNDIC GESTION ,11,291
SARREGUEMINES IMMOBILIER ,11,374
CONSULT MERIDIONAL ,11,891
CONSORTIUM IMMOBILIER EUROPEEN ,11,1268
AGENCE GENERAL IMMOBILIERE ET LOCATION ,11,374
AGENCE TISSOT ,11,589
L'OREE VERTE IMMOBILIER ,11,518
SODIM ESPACE GESTION  S.E.G ,11,392
REGIE BERTRAND - DEPAGNEUX ,11,312
LOC-GEST ,11,307
AGENCE LE HYARIC ,11,689
MARTINIQUE GESTION & SYNDIC ,11,578
MALLET-GUY IMMOBILIER ,11,772
DP IMMO ,11,1059
AGENCE METROPOLE ,11,419
KEEPER IMMOBILIER ,11,370
ACCORE IMMOBILIER ,11,753
CITYA NEUVILLE ,11,282
STATION IMMO FRANCE ,11,262
DUBREUIL ,11,728
SYNDIXIS ,11,791
SYNDUP ,11,676
MGEFFRAY IMMOBILIER ,11,301
QUARTZ IMMO ,11,698
CABINET DANIEL VETU ,11,940
FONCIERE HAUSSMANN RHONE ALPES ,11,376
PEROTTINO IMMOBILIER ,11,776
REGIE DES GONES ,11,549
PROVENCE BLEUE IMMOBILIER (P.B.I) ,11,645
AGIM IMMOBILIER CONSEIL ,11,489
SA THEPOT ,11,420
BAROKEL IMMOBILIER ,11,543
DL GESTION ,11,625
MULTI REGIE ,11,463
AZUR VAR IMMO ,11,559
IMMOTECK ,11,344
MONT BLANC IMMOBILIER ,11,355
HERAULT IMMOBILIERE DE GESTION ,11,758
PIERREFEU IMMOBILIER ,11,287
AZUR'IMMOBILIER ,11,406
ROQUES ST IMMOBILIER ,11,596
ROYER IMMO ,11,342
SOGESIM ,11,320
AGENCE CARDINALE ,11,191
BREIZH COMMERCES ,11,386
GESTIONNAIRES & ASSOCIES ,11,374
AGENCE REPUBLIQUE ,11,357
CITYA LANAVERRE ,11,428
CDJ IMMO TROYES ,11,433
CDG LYON ,11,393
SARL PAYMANN ,11,137
JEAN IMMOBILIER ,11,703
SAGNIMORTE CONSEILS ,11,592
LES SERVICES IMMOBILIERS ,11,295
LEOPOLD SYNDIC ,11,192
AGENCE REX ,11,661
CABINET BOURCY ,10,276
IMMOBILIERE DU MOULIN ,10,132
LESYNDICHEUREUX ,10,407
LECOINTE-ST AUBIN IMMOBILIER ,10,532
BOULANGE*STEPHAN MARCEL SERGE/ ,10,295
OPALEO ,10,856
CANOPEE GESTION ,10,952
CABINET PATRICE RYAUX ,10,416
CABINET SENNES ,10,522
LE TOIT FOREZIEN ,10,755
LEROUX ,10,264
TISSOT IMMOBILIER ,10,752
VAR EST IMMO ,10,1544
CABINET N & H IMMOBILIER ,10,996
LOGIS'IMMO ,10,609
DEFOLY IMMOBILIER ,10,417
L'IMMOBILIERE DE L'ABBATIALE ,10,285
DLJ IMMO 56 ,10,668
AGENCE BRETAGNE SUD ,10,237
CABINET IMMOBILIER J.MAHE S.PICOU ,10,551
SOC COOP D'HLM DE PRODUCT HAUTE GARONNE ,10,708
SGIT GESTION ,10,1763
CLESENCE ,10,471
CABINET ROUMILHAC ,10,1062
BOUKO IMMOBILIER ,10,162
CAZALIS ,10,489
CAPCIR LOISIRS ,10,683
CITYA IMMOBILIER PECORARI ,10,1140
IMMO DE FRANCE TRANIER ,10,335
CYCLADES GESTION ,10,420
SOGIM ,10,255
SOGIMAT ,10,332
SOCIETE D'EXPLOITATION CABINET LAGIER ,10,541
CABINET LOUIS PORCHERET ,10,478
IMMOBILIERE DU SUD ,10,483
REGIE LYON METROPOLE ,10,846
SYNDICLAIR LR ,10,597
CELAVI SYNDIC ,10,1816
HABIOZONE ,10,385
PATRICK PUGET SA ,10,544
HAMEL IMMOBILIER ,10,284
C.RIVIERE ,10,845
AGENCE DES PINS ,10,502
CITYA VILLEJUIF ,10,580
IMMO'ZEL ,10,700
AGENCE NANTAISE DE GESTION ,10,402
CABINET IMMOBILIER DU COMTE TOLOSAN ,10,812
MANARANCHE IMMOBILIER ARLESIENNE DE GESTION ,10,370
M2B IMMO ,10,389
SYNDIC 974 ,10,465
IMMOBILIERE DE L'ORGE ,10,299
IMMO PLURIEL ,10,431
DF GESTION ,10,351
CABINET PATRICK ECHINARD ,10,446
LION IMMOBILIER ,10,242
ACCORD IMMOBILIER PORTS ET PLAGES ,10,571
T I G ,10,295
SARL AGENCE AZUR ,10,1103
E&E IMMO ,10,618
TARN IMMOBILIER ,10,533
GEM MON SYNDIC ,10,785
BATIR ET LOGER S A D H L M ,10,187
ENSEMBLE HABITAT ,10,674
MICHEL DE CHABANNES ADMINISTRATION ,10,759
CABINET DEBAYLE SGDB ,10,529
LA MAISON DU SYNDIC ,10,124
GID ,10,962
ETXE-IMMOBILIER ,10,314
EURIMO ,10,269
CABINET LIQUARD SYNDIC ,10,502
RS IMMO 83 ,10,570
P.G.I. ,10,416
FONCIERE IMMOBILIERE TRANSACTION ,10,510
SAADA*JOHAN ALBERT ABRAHAM/ ,10,823
CABINET COTTEN ,10,311
CABINET CSJC ,10,715
MJP ,10,722
ATHERAC ,10,224
PLOTTON IMMOBILIER ,10,460
AUBRY GESTION ,10,494
BONJOUR IMMOBILIER ,9,321
DMM IMMO ,9,595
DREUMONT ,9,279
AVENTIN ,9,616
ARIANE IMMOBILIER ,9,337
AVENIR ASSOCIES ,9,481
RINALDI ,9,459
AGENCE IMMOBILIERE VAN POULLE ASSOCIES ,9,330
PARISIENNE GESTION TRANSACTION DE BIEN ,9,289
BOURBON PROPRIETE MANAGEMENT ,9,402
SOC H L M UN TOIT POUR TOUS ,9,297
AGENCE ALIZES ,9,649
L'IMMOBILIERE DU MOULIN DE L'ESSONNE ,9,311
RELAIS IMMO GESTION ,9,101
CENTRALE IMMOBILIERE ,9,363
CCLV IMMO ,9,220
ACV GESTION ,9,451
F.I.T LAGUNAK ,9,528
JOBY IMMOBILIER ,9,227
IMMOBILIERE DE L'ESTUAIRE ,9,357
CENTURY 21 AGENCE DU THEATRE ,9,161
SARL RIVOLI IMMOBILIER ,9,502
CAP'IMMO ,9,206
AGENCE R. BASSANELLI ,9,342
COM3 GESTION ,9,292
BOUR*ALAIN JOSPEH LOUIS/ ,9,243
IMBERT IMMOBILIER ,9,464
OLT GESTION IMMOBILIERE ,9,937
ALPES RHONE CONSEIL IMMOBILIER ,9,238
SAPHIE (SOCIETE D'ADMINISTRATION POUR L'HABITATION ET L'EXPERTISE IMMOBILIERE) ,9,437
AD IMMO ,9,396
LECOCQ & ASSOCIES ,9,375
LEGRANDCARRERE & ASSOCIES ,9,249
LAROZE IMMOBILIER ,9,527
4P IMMOBILIER ,9,318
A & L GESTION ,9,365
CABINET CHARPENTIER ,9,604
GESTION ET TRANSACTIONS DE FRANCE ,9,842
URBANIA VAL DE MARNE ,9,400
CABINET IGS ,9,606
CABINET MARCEL HUMBERT SARL EX ,9,310
SOC ADMIN & GESTION IMMEUB ROLIN BAINSON ,9,758
SMCI GESTION-SYNDIC ,9,641
ADVANCE GESTION ,9,465
SUD TOULOUSAIN GESTION ,9,504
AJASSOCIES ,9,340
EXEL IMMOBILIER ,9,159
EXBRAYAT IMMOBILIER ,9,278
MASALA ,9,265
GITE IMMO ,9,593
ALTO SEQUANAIS ,9,519
MARSEILLE SUD GESTION IMMOBILIERE ,9,835
MERCURY CONSULTING ,9,527
CLAIRSIENNE ,9,576
LA GESTION FAMILIALE ,9,224
G.M.J ,9,403
ORLEANS IMMO ,9,740
CABINET DALLAPORTA ,9,594
RYBIA IMMOBILIER ,9,696
RUNIMMO GESTION ,9,833
P.E.Z.E ,9,647
GECOTRA ,9,359
GCI LE PRE ,9,739
CITYA NATIVE CHALONS-EN-CHAMPAGNE ,9,353
COMPAGNIE AUBOISE IMMOBILIERE DE GESTION ,9,245
SEET ,9,401
CABINET LAEMMEL ,9,314
SARL DUPOUY-FLAMENCOURT ,9,822
MAVILLE IMMOBILIER ,9,899
CABINET FERGAN ,9,475
CABINET F. MERGUIN ,9,463
J-C LEBOURG IMMEUBLES-VENTES-GERANCES ,9,633
AMG GESTION ,9,490
REGIE BCP - BONNEFOY - CARRIER - PERET ,9,393
EPIDORA ,9,370
ELEOS CONSEIL ,9,529
ELORN IMMOBILIER ,9,221
PROLETAZUR ,9,465
DE COQUEREAUMONT IMMOBILIER ,9,268
SOC REGIE IMMOBILIA SARL ,9,441
G.R.F SOLUTIONS ,9,811
SYNDIC AVENIR ,9,494
ELEGNA IMMO ,9,383
EURL LAFONTAINE IMMOBILIER COGNAC ,9,356
